id_producto,id_material,cantidad_usada
PROD-003,MAT-004,5.87
PROD-002,MAT-008,9.69
PROD-017,MAT-005,1.67
PROD-019,MAT-001,7.8
PROD-018,MAT-010,9.73
PROD-019,MAT-005,9.38
PROD-001,MAT-004,7.06
PROD-009,MAT-003,1.34
PROD-003,MAT-008,3.33
PROD-017,MAT-006,6.99
PROD-016,MAT-002,2.98
PROD-014,MAT-006,3.74
PROD-004,MAT-001,3.55
PROD-002,MAT-001,6.79
PROD-018,MAT-006,8.14
PROD-006,MAT-008,3.95
PROD-013,MAT-006,6.96
PROD-013,MAT-002,8.76
PROD-004,MAT-007,4.5
PROD-008,MAT-001,8.72
PROD-008,MAT-004,7.63
PROD-011,MAT-008,8.07
PROD-001,MAT-003,2.5
PROD-013,MAT-008,6.77
PROD-016,MAT-003,8.83
PROD-016,MAT-003,3.01
PROD-016,MAT-003,8.61
PROD-011,MAT-009,9.88
PROD-003,MAT-001,5.96
PROD-001,MAT-006,3.14
PROD-009,MAT-006,6.25
PROD-018,MAT-007,1.45
PROD-012,MAT-010,3.67
PROD-006,MAT-003,3.8
PROD-019,MAT-002,8.43
PROD-015,MAT-005,1.84
PROD-001,MAT-003,5.17
PROD-003,MAT-007,6.91
PROD-007,MAT-005,7.91
PROD-008,MAT-005,4.92
PROD-004,MAT-001,9.18
PROD-020,MAT-003,9.16
PROD-002,MAT-003,1.83
PROD-011,MAT-006,3.74
PROD-010,MAT-001,9.53
PROD-007,MAT-002,2.71
PROD-017,MAT-001,7.65
PROD-017,MAT-008,1.81
PROD-017,MAT-002,1.06
PROD-007,MAT-008,3.34
