id_producto,id_departamento,horas_hombre
PROD-019,DEP-005,4.01
PROD-020,DEP-001,4.11
PROD-001,DEP-002,4.26
PROD-018,DEP-005,4.26
PROD-018,DEP-001,1.79
PROD-008,DEP-003,2.45
PROD-016,DEP-003,2.03
PROD-012,DEP-002,3.29
PROD-010,DEP-003,3.88
PROD-010,DEP-003,2.4
PROD-011,DEP-005,1.87
PROD-006,DEP-004,3.71
PROD-004,DEP-002,1.82
PROD-006,DEP-005,2.96
PROD-012,DEP-004,2.61
PROD-009,DEP-003,4.63
PROD-017,DEP-005,2.37
PROD-013,DEP-003,3.29
PROD-004,DEP-002,2.31
PROD-010,DEP-005,1.58
PROD-017,DEP-003,1.32
PROD-007,DEP-005,4.73
PROD-017,DEP-001,1.12
PROD-019,DEP-001,2.15
PROD-009,DEP-003,3.8
PROD-013,DEP-003,4.67
PROD-011,DEP-004,2.98
PROD-014,DEP-005,2.19
PROD-010,DEP-001,2.99
PROD-003,DEP-005,4.41
PROD-005,DEP-004,1.29
PROD-018,DEP-002,3.9
PROD-008,DEP-003,4.28
PROD-003,DEP-003,1.38
PROD-013,DEP-005,2.62
PROD-006,DEP-004,2.91
PROD-001,DEP-005,4.06
PROD-008,DEP-003,3.08
PROD-003,DEP-004,1.75
PROD-006,DEP-001,4.02
PROD-017,DEP-005,4.66
PROD-011,DEP-003,4.11
PROD-005,DEP-001,2.6
PROD-020,DEP-003,4.97
PROD-011,DEP-002,3.27
PROD-002,DEP-003,1.68
PROD-020,DEP-002,1.28
PROD-004,DEP-003,4.15
PROD-004,DEP-001,1.5
PROD-001,DEP-004,3.95
