id_producto,costo_total_material,costo_total_mo,costo_cif,costo_total_producto
PROD-001,532.741,237.26049999999998,47.4521,817.4535999999999
PROD-002,332.4412,29.618399999999998,5.92368,367.98328
PROD-003,490.43769999999995,149.9773,29.995460000000005,670.41046
PROD-004,393.98019999999997,183.3313,36.66626,613.97776
PROD-006,156.237,224.87640000000002,44.975280000000005,426.08868
PROD-007,345.59180000000003,108.50620000000002,21.701240000000006,475.79924000000005
PROD-008,584.269,172.9503,34.59006,791.80936
PROD-009,188.3694,148.6209,29.724180000000004,366.71448000000004
PROD-010,240.53719999999996,194.8315,38.966300000000004,474.335
PROD-011,501.1422,225.2595,45.0519,771.4536
PROD-012,38.168,105.14330000000001,21.028660000000002,164.33996000000002
PROD-013,640.709,200.4376,40.087520000000005,881.23412
PROD-014,88.9372,50.2386,10.04772,149.22352
PROD-016,742.8224,35.78889999999999,7.157779999999999,785.76908
PROD-017,466.7561,202.471,40.494200000000006,709.7213
PROD-018,318.17870000000005,207.7363,41.54726,567.4622600000001
PROD-019,801.5865,126.4109,25.28218,953.27958
PROD-020,271.6856,180.123,36.0246,487.83320000000003
